1,2,130
1,6,83
2,1,130
2,3,120
2,7,96
3,2,120
3,4,90
3,8,96
4,3,90
4,5,350
4,9,93
5,4,350
5,12,88
6,1,83
6,7,130
6,13,95
7,2,96
7,6,130
7,8,120
7,14,94
8,3,96
8,7,120
8,9,92
8,15,95
9,4,93
9,8,92
9,10,91
9,16,95
10,9,91
10,11,95
10,17,97
11,10,95
11,12,140
11,19,98
12,5,88
12,11,140
12,26,190
13,6,95
13,14,130
13,20,97
14,7,94
14,13,130
14,15,120
15,8,95
15,14,120
15,16,94
15,21,98
16,9,95
16,15,94
16,17,91
16,22,89
17,10,97
17,16,91
17,18,49
17,23,90
18,17,49
18,19,40
18,24,170
19,11,98
19,18,40
19,25,93
20,13,97
20,21,240
20,30,170
21,15,98
21,20,240
21,22,100
21,27,77
22,16,89
22,21,100
22,23,90
22,28,85
23,17,90
23,22,90
23,24,120
24,18,170
24,23,120
24,25,26
25,19,93
25,24,26
25,26,120
26,12,190
26,25,120
26,29,98
27,21,77
27,28,93
27,32,81
28,22,85
28,27,93
28,29,260
29,26,98
29,28,260
29,33,83
30,20,170
30,31,150
31,30,150
31,34,120
32,27,81
32,33,350
32,35,91
33,29,83
33,32,350
33,36,90
34,31,120
34,35,62
35,32,91
35,34,62
35,36,300
35,37,98
36,33,90
36,35,300
36,38,87
37,35,98
37,38,300
38,36,87
38,37,300
